matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
1,1.659e-06,1.371e-06
2,1.878e-06,1.574e-06
3,2.105e-06,2.047e-06
4,2.615e-06,2.483e-06
5,3.085e-06,2.937e-06
6,6.465e-06,4.187e-06
7,4.793e-06,4.744e-06
8,5.47e-06,5.015e-06
9,5.937e-06,5.485e-06
10,7.784e-06,7.462e-06
11,9.566e-06,7.198e-06
12,7.897e-06,7.145e-06
13,9.023e-06,7.717e-06
14,1.0863e-05,9.202e-06
15,1.2108e-05,1.1027e-05
16,1.2979e-05,1.1004e-05
17,1.2292e-05,1.107e-05
18,1.2795e-05,1.1532e-05
19,2.0925e-05,1.2739e-05
20,1.4509e-05,1.318e-05
21,1.5159e-05,1.3742e-05
22,2.0275e-05,1.4298e-05
23,1.7881e-05,1.4577e-05
24,1.7777e-05,1.5978e-05
25,1.8164e-05,1.5926e-05
26,1.8728e-05,1.6584e-05
27,2.3153e-05,1.8861e-05
28,2.0968e-05,1.8623e-05
29,2.1802e-05,2.2931e-05
30,2.3563e-05,2.0322e-05
31,2.5633e-05,2.1684e-05
32,2.655e-05,2.2541e-05
33,2.5285e-05,2.2704e-05
34,2.7743e-05,2.4477e-05
35,4.3789e-05,2.5701e-05
36,3.7581e-05,2.7905e-05
37,2.8948e-05,2.7243e-05
38,2.9898e-05,2.8239e-05
39,3.2814e-05,2.8884e-05
40,3.1903e-05,2.9999e-05
41,3.3753e-05,2.765e-05
42,3.6814e-05,3.0216e-05
43,3.7857e-05,2.9797e-05
44,4.0739e-05,3.1863e-05
45,3.6683e-05,3.1171e-05
46,3.6102e-05,3.1387e-05
47,3.8393e-05,8.0725e-05
48,3.6953e-05,3.3479e-05
49,4.0445e-05,3.439e-05
50,3.4189e-05,3.2047e-05
51,3.7946e-05,3.4548e-05
52,3.9628e-05,3.4657e-05
53,4.2336e-05,3.4068e-05
54,4.0562e-05,3.5181e-05
55,4.3305e-05,3.582e-05
56,4.0542e-05,3.7019e-05
57,3.9477e-05,3.697e-05
58,4.0321e-05,3.6786e-05
59,4.5919e-05,3.7744e-05
60,4.6455e-05,3.8775e-05
61,0.000110182,4.0879e-05
62,4.5232e-05,4.0363e-05
63,5.449e-05,4.2319e-05
64,4.9539e-05,4.2409e-05
65,5.3713e-05,4.446e-05
66,4.718e-05,4.4567e-05
67,5.1133e-05,4.6274e-05
68,5.6915e-05,4.79e-05
69,5.733e-05,4.813e-05
70,5.8202e-05,4.9203e-05
71,8.2593e-05,5.1902e-05
72,6.361e-05,5.0744e-05
73,6.3449e-05,5.2739e-05
74,6.387e-05,7.0814e-05
75,7.0523e-05,5.5686e-05
76,6.8596e-05,5.8314e-05
77,7.1669e-05,5.7146e-05
78,6.4126e-05,5.816e-05
79,7.7691e-05,6.0871e-05
80,6.7366e-05,6.0834e-05
81,7.5347e-05,6.1918e-05
82,7.3775e-05,6.2961e-05
83,8.4818e-05,6.5295e-05
84,8.0863e-05,6.6125e-05
85,7.4442e-05,6.7189e-05
86,8.2555e-05,6.9443e-05
87,9.0794e-05,6.9205e-05
88,8.7074e-05,7.0902e-05
89,8.7774e-05,7.2055e-05
90,8.2101e-05,7.3331e-05
91,9.8512e-05,7.5383e-05
92,8.2614e-05,7.6097e-05
93,9.2709e-05,7.8126e-05
94,9.6503e-05,8.4837e-05
95,8.9403e-05,8.0448e-05
96,9.9102e-05,8.3146e-05
97,0.000105419,0.000101054
98,0.000104587,8.3737e-05
99,0.000105442,8.5691e-05
100,0.0001014,8.7492e-05
101,0.000110458,9.0373e-05
102,0.000102288,9.1656e-05
103,0.000116536,9.2125e-05
104,0.000116428,9.4171e-05
105,0.000117066,0.000101809
106,0.000120099,9.6218e-05
107,0.000115901,9.8627e-05
108,0.000166734,0.000104213
109,0.000116718,0.00010156
110,0.000117405,0.00012817
111,0.000118994,0.00010653
112,0.000125118,0.000105292
113,0.000124943,0.000106598
114,0.000131757,0.000108943
115,0.000139331,0.000112166
116,0.000139526,0.000111663
117,0.000141441,0.000115798
118,0.000133365,0.000138831
119,0.000150393,0.000119469
120,0.000152594,0.000119341
121,0.000145803,0.000123851
122,0.000149411,0.000122777
123,0.000158148,0.000127164
124,0.000228611,0.000156143
125,0.000193878,0.000171358
