matrix size,M.M. average time,M.M.T. average time,M.M. std,M.M.T. std
100,0.000139305,0.000140871,3.16968e-05,2.86158e-05
1000,0.0210786,0.0175487,0.00135542,0.0012405
2000,0.100431,0.0752324,0.0122139,0.0136261
3000,0.260478,0.173668,0.0378933,0.0249664
4000,0.604644,0.394191,0.0694406,0.133183
5000,1.04494,0.70073,0.121324,0.224453
6000,1.72019,1.28407,0.172005,0.378999
7000,2.1007,1.48129,0.238228,0.496478
8000,3.05983,1.45351,0.394868,0.538939
9000,4.38352,2.1969,0.415715,0.808576
10000,5.10863,2.50254,0.643661,0.531974
