matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
1,2e-06,2e-06
2,3e-06,4e-06
3,5e-06,5e-06
4,6e-06,7e-06
5,8e-06,7e-06
6,9e-06,9e-06
7,1.2e-05,1.1e-05
8,1.2e-05,1.3e-05
9,1.5e-05,1.4e-05
10,1.7e-05,1.7e-05
11,1.9e-05,1.9e-05
12,2.1e-05,2.1e-05
13,2.6e-05,2.3e-05
14,2.6e-05,2.7e-05
15,3.1e-05,2.9e-05
16,3.1e-05,3.1e-05
17,3.7e-05,3.4e-05
18,3.7e-05,3.7e-05
19,4.1e-05,3.9e-05
20,4.3e-05,4.2e-05
21,4.7e-05,4.6e-05
22,5e-05,4.8e-05
23,5.1e-05,5.1e-05
24,5.6e-05,5.3e-05
25,6.3e-05,6.2e-05
26,6.4e-05,6.1e-05
27,6.5e-05,6.4e-05
28,6.8e-05,6.8e-05
29,7.6e-05,7.4e-05
30,7.6e-05,7.5e-05
31,8e-05,8e-05
32,8.4e-05,8.3e-05
33,9.3e-05,8.7e-05
34,9.2e-05,9.1e-05
35,9.6e-05,9.6e-05
36,0.0001,0.0001
37,0.000112,0.000116
38,0.000114,0.000115
39,0.000116,0.000119
40,0.000119,0.000122
41,0.000135,0.000134
42,0.000134,0.000138
43,0.000137,0.000138
44,0.00014,0.000142
45,0.000152,0.000155
46,0.000153,0.000154
47,0.000169,0.000164
48,0.00021,0.000189
49,0.000183,0.000171
50,0.000182,0.000182
51,0.0002,0.000182
52,0.000184,0.000187
53,0.000206,0.000198
54,0.000201,0.0002
55,0.000206,0.000205
56,0.000214,0.000212
57,0.000234,0.00023
58,0.00023,0.00023
59,0.000236,0.000236
60,0.000243,0.000246
61,0.000262,0.000252
62,0.000257,0.000257
63,0.000264,0.000266
64,0.000269,0.000266
65,0.000292,0.000273
66,0.000285,0.000282
67,0.000294,0.000288
68,0.000301,0.000296
69,0.00031,0.000305
70,0.000313,0.000314
71,0.000334,0.000323
72,0.000365,0.000367
73,0.000376,0.000345
74,0.000408,0.000354
75,0.000384,0.000361
76,0.000373,0.000368
77,0.000387,0.000377
78,0.000388,0.000392
79,0.000402,0.000399
80,0.00041,0.000409
81,0.000463,0.000417
82,0.000517,0.000561
83,0.000516,0.000647
84,0.000536,0.000445
85,0.000526,0.000525
86,0.000484,0.000468
87,0.000475,0.000474
88,0.000491,0.000482
89,0.000512,0.00055
90,0.000682,0.000659
91,0.000632,0.00065
92,0.000534,0.000517
93,0.000541,0.00053
94,0.000539,0.000545
95,0.000554,0.000551
96,0.000582,0.000576
97,0.000624,0.000575
98,0.000883,0.000854
99,0.000631,0.000847
100,0.00067,0.000675
101,0.000699,0.000694
102,0.000668,0.000722
103,0.000668,0.000681
104,0.00075,0.000758
105,0.000913,0.00068
106,0.00073,0.00069
107,0.000688,0.000686
108,0.000766,0.000691
109,0.000745,0.000864
110,0.00078,0.000713
111,0.000723,0.000725
112,0.00074,0.000734
113,0.000842,0.001059
114,0.000861,0.000807
115,0.000794,0.00082
116,0.000888,0.000761
117,0.000809,0.000775
118,0.001132,0.000975
119,0.001259,0.000849
120,0.000842,0.000884
121,0.000867,0.000829
122,0.000847,0.000852
123,0.000862,0.000851
124,0.000929,0.000928
125,0.000901,0.000864
126,0.001244,0.001141
127,0.00119,0.001202
128,0.000948,0.000887
129,0.001173,0.001232
130,0.001135,0.001159
131,0.000937,0.001141
132,0.0011,0.00116
133,0.00096,0.00101
134,0.000999,0.000958
135,0.001067,0.001124
136,0.001068,0.000984
137,0.001047,0.001008
138,0.001134,0.001019
139,0.001099,0.00107
140,0.001074,0.001047
141,0.001063,0.000977
142,0.000966,0.000911
143,0.000926,0.000921
144,0.001053,0.00094
145,0.00099,0.000946
146,0.000959,0.000973
147,0.000992,0.000967
148,0.001006,0.000983
149,0.001069,0.001079
150,0.001023,0.001005
151,0.001054,0.001042
152,0.00105,0.00104
153,0.001118,0.001051
154,0.001133,0.001077
155,0.001068,0.001064
156,0.001124,0.001076
157,0.001157,0.00109
158,0.001159,0.001128
159,0.001192,0.001114
160,0.001155,0.001156
161,0.001188,0.001141
162,0.001252,0.001184
163,0.001229,0.001172
164,0.001224,0.001234
165,0.001236,0.001201
166,0.001324,0.001263
167,0.00125,0.001245
168,0.001305,0.001234
169,0.001265,0.001299
170,0.001305,0.0013
171,0.001311,0.001327
172,0.001307,0.001295
173,0.001413,0.001415
174,0.001341,0.001964
175,0.001431,0.001386
176,0.001366,0.001437
177,0.001446,0.001464
178,0.001479,0.001392
179,0.001441,0.001401
180,0.001521,0.001428
181,0.001551,0.001503
182,0.001493,0.001461
183,0.001573,0.001508
184,0.001543,0.001574
185,0.001594,0.001511
186,0.001702,0.00188
187,0.001574,0.001543
188,0.001556,0.001532
189,0.001805,0.001701
190,0.001653,0.001705
191,0.001832,0.001693
192,0.001859,0.001697
193,0.001816,0.001727
194,0.001787,0.001871
195,0.001778,0.001763
196,0.0017,0.001728
197,0.001779,0.001757
198,0.001731,0.001681
199,0.001724,0.001706
200,0.001829,0.001857
201,0.001774,0.001775
202,0.001872,0.001774
203,0.001968,0.001788
204,0.001929,0.00179
205,0.001966,0.002046
206,0.001841,0.001816
207,0.001962,0.001848
208,0.001978,0.001877
209,0.002048,0.002045
210,0.001964,0.001962
211,0.002072,0.001976
212,0.001952,0.00193
213,0.002028,0.002049
214,0.002004,0.001944
215,0.002125,0.002001
216,0.002072,0.002029
217,0.00206,0.002167
218,0.002053,0.002022
219,0.002233,0.002109
220,0.002117,0.002098
221,0.002207,0.002072
222,0.002174,0.002166
223,0.002183,0.002131
224,0.002234,0.002196
225,0.0022,0.00222
226,0.002386,0.002301
227,0.002273,0.002282
228,0.002265,0.002297
229,0.002338,0.002273
230,0.002267,0.002342
231,0.00233,0.002427
232,0.002323,0.002407
233,0.002368,0.002349
234,0.00236,0.002341
235,0.002359,0.002327
236,0.002392,0.002387
237,0.002427,0.002366
238,0.00244,0.002429
239,0.002484,0.002425
240,0.002482,0.002497
241,0.002515,0.002463
242,0.002518,0.002581
243,0.002537,0.002522
244,0.002609,0.002638
245,0.002628,0.002592
246,0.00271,0.002578
247,0.002732,0.002603
248,0.002692,0.002598
249,0.002726,0.002599
250,0.002686,0.002698
251,0.002741,0.002696
252,0.003054,0.002893
253,0.002984,0.00335
254,0.003401,0.002935
255,0.003011,0.002885
256,0.00303,0.002915
257,0.003254,0.002846
258,0.00298,0.003135
259,0.003065,0.002997
260,0.003343,0.00291
261,0.003537,0.002911
262,0.003073,0.002868
263,0.003077,0.002906
264,0.003387,0.002967
265,0.003089,0.00294
266,0.003149,0.002959
267,0.003096,0.00297
268,0.00345,0.002999
269,0.003155,0.003018
270,0.003212,0.003037
271,0.003153,0.002977
272,0.003163,0.002991
273,0.003195,0.003182
274,0.003378,0.00308
275,0.003325,0.003117
276,0.003494,0.003088
277,0.003331,0.003166
278,0.00361,0.003419
