matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
1,4e-06,4e-06
2,6e-06,6e-06
3,8e-06,8e-06
4,1e-05,1.7e-05
5,1.4e-05,1.3e-05
6,1.6e-05,1.6e-05
7,1.9e-05,1.8e-05
8,4.2e-05,2.5e-05
9,2.4e-05,2.4e-05
10,2.8e-05,2.8e-05
11,3.1e-05,3.2e-05
12,3.5e-05,3.5e-05
13,5.1e-05,3.8e-05
14,4.4e-05,4.3e-05
15,3.8e-05,3.8e-05
16,4.2e-05,4.1e-05
17,4.5e-05,4.5e-05
18,4.9e-05,4.8e-05
19,5.2e-05,5.2e-05
20,6.4e-05,5.6e-05
21,6.1e-05,6e-05
22,6.4e-05,7.2e-05
23,6.9e-05,6.8e-05
24,8.2e-05,8.3e-05
25,9.4e-05,8.7e-05
26,9.5e-05,0.000104
27,0.000103,9.8e-05
28,0.000107,0.000104
29,0.000118,0.000114
30,0.00013,0.000115
31,0.000125,0.000144
32,0.00013,0.000131
33,0.000129,0.000113
34,0.000116,0.000117
35,0.000123,0.000124
36,0.000131,0.00013
37,0.000145,0.000149
38,0.000142,0.000142
39,0.000148,0.000148
40,0.000154,0.000156
41,0.000164,0.000165
42,0.000167,0.000167
43,0.000174,0.000176
44,0.000181,0.000183
45,0.000191,0.00019
46,0.000196,0.000197
47,0.000183,0.000187
48,0.00018,0.000182
49,0.000194,0.000194
50,0.00021,0.000193
51,0.000199,0.000232
52,0.000214,0.000214
53,0.000217,0.000212
54,0.00022,0.00022
55,0.000204,0.000204
56,0.000203,0.000203
57,0.000221,0.000214
58,0.000219,0.000221
59,0.00023,0.000229
60,0.000235,0.000234
61,0.000243,0.000238
62,0.000246,0.000246
63,0.000251,0.000252
64,0.000258,0.000266
65,0.000277,0.000271
66,0.000271,0.000251
67,0.000255,0.00029
68,0.000262,0.000262
69,0.00027,0.000272
70,0.000279,0.000288
71,0.00029,0.000282
72,0.00029,0.000319
73,0.000311,0.000321
74,0.000281,0.000304
75,0.000301,0.000315
76,0.000294,0.000319
77,0.000321,0.000302
78,0.000322,0.00031
79,0.000322,0.000318
80,0.000323,0.000322
81,0.000307,0.00031
82,0.000317,0.000315
